# JMH 1.12 (released 2029 days ago, please consider updating!)
# VM version: JDK 15.0.5, VM 15.0.5+3-MTS
# VM invoker: /opt/zulu15.36.13-ca-jdk15.0.5-linux_x64/bin/java
# VM options: -Xmx8g -XX:-TieredCompilation -XX:+UseParallelGC
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: eu.javaspecialists.perf.string.StringAppenderBenchmark.appendBasic

# Run progress: 0.00% complete, ETA 00:22:30
# Fork: 1 of 3
# Warmup Iteration   1: 36.893 ns/op
# Warmup Iteration   2: 34.276 ns/op
# Warmup Iteration   3: 33.803 ns/op
# Warmup Iteration   4: 33.745 ns/op
# Warmup Iteration   5: 33.735 ns/op
Iteration   1: 33.676 ns/op
Iteration   2: 33.642 ns/op
Iteration   3: 33.671 ns/op
Iteration   4: 33.706 ns/op
Iteration   5: 33.747 ns/op
Iteration   6: 33.790 ns/op
Iteration   7: 33.839 ns/op
Iteration   8: 34.005 ns/op
Iteration   9: 34.036 ns/op
Iteration  10: 34.380 ns/op

# Run progress: 3.33% complete, ETA 00:21:53
# Fork: 2 of 3
# Warmup Iteration   1: 36.683 ns/op
# Warmup Iteration   2: 34.116 ns/op
# Warmup Iteration   3: 33.657 ns/op
# Warmup Iteration   4: 33.802 ns/op
# Warmup Iteration   5: 33.482 ns/op
Iteration   1: 33.666 ns/op
Iteration   2: 33.772 ns/op
Iteration   3: 33.656 ns/op
Iteration   4: 33.459 ns/op
Iteration   5: 33.702 ns/op
Iteration   6: 33.449 ns/op
Iteration   7: 33.689 ns/op
Iteration   8: 33.978 ns/op
Iteration   9: 34.339 ns/op
Iteration  10: 34.214 ns/op

# Run progress: 6.67% complete, ETA 00:21:08
# Fork: 3 of 3
# Warmup Iteration   1: 37.133 ns/op
# Warmup Iteration   2: 51.467 ns/op
# Warmup Iteration   3: 34.046 ns/op
# Warmup Iteration   4: 34.168 ns/op
# Warmup Iteration   5: 34.275 ns/op
Iteration   1: 34.070 ns/op
Iteration   2: 34.004 ns/op
Iteration   3: 34.152 ns/op
Iteration   4: 34.118 ns/op
Iteration   5: 34.298 ns/op
Iteration   6: 34.005 ns/op
Iteration   7: 33.906 ns/op
Iteration   8: 33.871 ns/op
Iteration   9: 34.364 ns/op
Iteration  10: 34.295 ns/op


Result "appendBasic":
  33.917 ±(99.9%) 0.180 ns/op [Average]
  (min, avg, max) = (33.449, 33.917, 34.380), stdev = 0.269
  CI (99.9%): [33.737, 34.096] (assumes normal distribution)


# JMH 1.12 (released 2029 days ago, please consider updating!)
# VM version: JDK 15.0.5, VM 15.0.5+3-MTS
# VM invoker: /opt/zulu15.36.13-ca-jdk15.0.5-linux_x64/bin/java
# VM options: -Xmx8g -XX:-TieredCompilation -XX:+UseParallelGC
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: eu.javaspecialists.perf.string.StringAppenderBenchmark.appendStringBuilder

# Run progress: 10.00% complete, ETA 00:20:23
# Fork: 1 of 3
# Warmup Iteration   1: 33.162 ns/op
# Warmup Iteration   2: 30.691 ns/op
# Warmup Iteration   3: 30.564 ns/op
# Warmup Iteration   4: 31.166 ns/op
# Warmup Iteration   5: 30.652 ns/op
Iteration   1: 30.682 ns/op
Iteration   2: 30.644 ns/op
Iteration   3: 31.295 ns/op
Iteration   4: 30.178 ns/op
Iteration   5: 30.449 ns/op
Iteration   6: 30.884 ns/op
Iteration   7: 30.836 ns/op
Iteration   8: 31.218 ns/op
Iteration   9: 30.411 ns/op
Iteration  10: 31.467 ns/op

# Run progress: 13.33% complete, ETA 00:19:38
# Fork: 2 of 3
# Warmup Iteration   1: 32.859 ns/op
# Warmup Iteration   2: 30.749 ns/op
# Warmup Iteration   3: 31.074 ns/op
# Warmup Iteration   4: 31.403 ns/op
# Warmup Iteration   5: 31.310 ns/op
Iteration   1: 31.292 ns/op
Iteration   2: 31.463 ns/op
Iteration   3: 31.185 ns/op
Iteration   4: 31.298 ns/op
Iteration   5: 30.921 ns/op
Iteration   6: 31.558 ns/op
Iteration   7: 31.062 ns/op
Iteration   8: 30.800 ns/op
Iteration   9: 31.385 ns/op
Iteration  10: 31.319 ns/op

# Run progress: 16.67% complete, ETA 00:18:52
# Fork: 3 of 3
# Warmup Iteration   1: 34.305 ns/op
# Warmup Iteration   2: 39.107 ns/op
# Warmup Iteration   3: 30.134 ns/op
# Warmup Iteration   4: 30.589 ns/op
# Warmup Iteration   5: 30.269 ns/op
Iteration   1: 30.206 ns/op
Iteration   2: 30.164 ns/op
Iteration   3: 30.002 ns/op
Iteration   4: 30.403 ns/op
Iteration   5: 30.466 ns/op
Iteration   6: 30.073 ns/op
Iteration   7: 30.039 ns/op
Iteration   8: 30.246 ns/op
Iteration   9: 30.141 ns/op
Iteration  10: 30.485 ns/op


Result "appendStringBuilder":
  30.752 ±(99.9%) 0.339 ns/op [Average]
  (min, avg, max) = (30.002, 30.752, 31.558), stdev = 0.507
  CI (99.9%): [30.413, 31.091] (assumes normal distribution)


# JMH 1.12 (released 2029 days ago, please consider updating!)
# VM version: JDK 15.0.5, VM 15.0.5+3-MTS
# VM invoker: /opt/zulu15.36.13-ca-jdk15.0.5-linux_x64/bin/java
# VM options: -Xmx8g -XX:-TieredCompilation -XX:+UseParallelGC
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: eu.javaspecialists.perf.string.StringAppenderBenchmark.appendStringBuilderSize

# Run progress: 20.00% complete, ETA 00:18:07
# Fork: 1 of 3
# Warmup Iteration   1: 34.528 ns/op
# Warmup Iteration   2: 31.137 ns/op
# Warmup Iteration   3: 31.395 ns/op
# Warmup Iteration   4: 31.700 ns/op
# Warmup Iteration   5: 31.477 ns/op
Iteration   1: 31.983 ns/op
Iteration   2: 31.658 ns/op
Iteration   3: 31.576 ns/op
Iteration   4: 31.386 ns/op
Iteration   5: 31.505 ns/op
Iteration   6: 31.936 ns/op
Iteration   7: 31.680 ns/op
Iteration   8: 31.487 ns/op
Iteration   9: 31.671 ns/op
Iteration  10: 31.624 ns/op

# Run progress: 23.33% complete, ETA 00:17:22
# Fork: 2 of 3
# Warmup Iteration   1: 34.553 ns/op
# Warmup Iteration   2: 31.198 ns/op
# Warmup Iteration   3: 31.266 ns/op
# Warmup Iteration   4: 31.374 ns/op
# Warmup Iteration   5: 31.370 ns/op
Iteration   1: 31.379 ns/op
Iteration   2: 31.390 ns/op
Iteration   3: 31.410 ns/op
Iteration   4: 31.436 ns/op
Iteration   5: 31.342 ns/op
Iteration   6: 31.260 ns/op
Iteration   7: 31.328 ns/op
Iteration   8: 31.459 ns/op
Iteration   9: 31.429 ns/op
Iteration  10: 31.486 ns/op

# Run progress: 26.67% complete, ETA 00:16:36
# Fork: 3 of 3
# Warmup Iteration   1: 34.568 ns/op
# Warmup Iteration   2: 31.170 ns/op
# Warmup Iteration   3: 30.903 ns/op
# Warmup Iteration   4: 31.163 ns/op
# Warmup Iteration   5: 31.127 ns/op
Iteration   1: 31.236 ns/op
Iteration   2: 31.181 ns/op
Iteration   3: 31.466 ns/op
Iteration   4: 31.092 ns/op
Iteration   5: 31.265 ns/op
Iteration   6: 31.228 ns/op
Iteration   7: 31.095 ns/op
Iteration   8: 31.605 ns/op
Iteration   9: 31.401 ns/op
Iteration  10: 31.413 ns/op


Result "appendStringBuilderSize":
  31.447 ±(99.9%) 0.140 ns/op [Average]
  (min, avg, max) = (31.092, 31.447, 31.983), stdev = 0.210
  CI (99.9%): [31.307, 31.587] (assumes normal distribution)


# JMH 1.12 (released 2029 days ago, please consider updating!)
# VM version: JDK 15.0.5, VM 15.0.5+3-MTS
# VM invoker: /opt/zulu15.36.13-ca-jdk15.0.5-linux_x64/bin/java
# VM options: -Xmx8g -XX:-TieredCompilation -XX:+UseParallelGC
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: eu.javaspecialists.perf.string.StringAppenderBenchmark.concat

# Run progress: 30.00% complete, ETA 00:15:51
# Fork: 1 of 3
# Warmup Iteration   1: 190.978 ns/op
# Warmup Iteration   2: 176.089 ns/op
# Warmup Iteration   3: 169.835 ns/op
# Warmup Iteration   4: 170.227 ns/op
# Warmup Iteration   5: 170.609 ns/op
Iteration   1: 168.572 ns/op
Iteration   2: 168.860 ns/op
Iteration   3: 169.045 ns/op
Iteration   4: 170.753 ns/op
Iteration   5: 172.230 ns/op
Iteration   6: 173.062 ns/op
Iteration   7: 172.589 ns/op
Iteration   8: 172.373 ns/op
Iteration   9: 170.742 ns/op
Iteration  10: 170.692 ns/op

