# JMH 1.12 (released 2029 days ago, please consider updating!)
# VM version: JDK 12.0.2, VM 12.0.2+3
# VM invoker: /opt/zulu12.3.11-ca-jdk12.0.2-linux_x64/bin/java
# VM options: -Xmx8g -XX:-TieredCompilation -XX:+UseParallelGC
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: eu.javaspecialists.perf.string.StringAppenderBenchmark.appendBasic

# Run progress: 0.00% complete, ETA 00:22:30
# Fork: 1 of 3
# Warmup Iteration   1: 35.162 ns/op
# Warmup Iteration   2: 33.335 ns/op
# Warmup Iteration   3: 33.853 ns/op
# Warmup Iteration   4: 34.008 ns/op
# Warmup Iteration   5: 34.219 ns/op
Iteration   1: 34.236 ns/op
Iteration   2: 33.966 ns/op
Iteration   3: 33.837 ns/op
Iteration   4: 33.870 ns/op
Iteration   5: 33.864 ns/op
Iteration   6: 33.813 ns/op
Iteration   7: 33.856 ns/op
Iteration   8: 33.990 ns/op
Iteration   9: 34.176 ns/op
Iteration  10: 34.615 ns/op

# Run progress: 3.33% complete, ETA 00:21:53
# Fork: 2 of 3
# Warmup Iteration   1: 35.326 ns/op
# Warmup Iteration   2: 33.682 ns/op
# Warmup Iteration   3: 33.943 ns/op
# Warmup Iteration   4: 33.906 ns/op
# Warmup Iteration   5: 33.924 ns/op
Iteration   1: 33.917 ns/op
Iteration   2: 33.863 ns/op
Iteration   3: 34.165 ns/op
Iteration   4: 33.898 ns/op
Iteration   5: 33.852 ns/op
Iteration   6: 33.924 ns/op
Iteration   7: 33.883 ns/op
Iteration   8: 33.976 ns/op
Iteration   9: 34.295 ns/op
Iteration  10: 33.988 ns/op

# Run progress: 6.67% complete, ETA 00:21:07
# Fork: 3 of 3
# Warmup Iteration   1: 35.280 ns/op
# Warmup Iteration   2: 34.046 ns/op
# Warmup Iteration   3: 34.364 ns/op
# Warmup Iteration   4: 34.224 ns/op
# Warmup Iteration   5: 34.243 ns/op
Iteration   1: 34.337 ns/op
Iteration   2: 34.251 ns/op
Iteration   3: 34.276 ns/op
Iteration   4: 34.211 ns/op
Iteration   5: 34.296 ns/op
Iteration   6: 34.232 ns/op
