# JMH 1.12 (released 2029 days ago, please consider updating!)
# VM version: JDK 16.0.2, VM 16.0.2+7
# VM invoker: /opt/zulu16.32.15-ca-jdk16.0.2-linux_x64/bin/java
# VM options: -Xmx8g -XX:-TieredCompilation -XX:+UseParallelGC
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: eu.javaspecialists.perf.string.StringAppenderBenchmark.appendBasic

# Run progress: 0.00% complete, ETA 00:22:30
# Fork: 1 of 3
# Warmup Iteration   1: 35.120 ns/op
# Warmup Iteration   2: 33.838 ns/op
# Warmup Iteration   3: 33.443 ns/op
# Warmup Iteration   4: 33.577 ns/op
# Warmup Iteration   5: 33.542 ns/op
Iteration   1: 33.910 ns/op
Iteration   2: 33.656 ns/op
Iteration   3: 33.756 ns/op
Iteration   4: 33.504 ns/op
Iteration   5: 33.543 ns/op
Iteration   6: 33.455 ns/op
Iteration   7: 33.429 ns/op
Iteration   8: 33.353 ns/op
Iteration   9: 33.371 ns/op
Iteration  10: 33.502 ns/op

# Run progress: 3.33% complete, ETA 00:21:53
# Fork: 2 of 3
# Warmup Iteration   1: 36.403 ns/op
# Warmup Iteration   2: 33.718 ns/op
# Warmup Iteration   3: 33.356 ns/op
# Warmup Iteration   4: 33.366 ns/op
# Warmup Iteration   5: 33.385 ns/op
Iteration   1: 33.340 ns/op
Iteration   2: 33.390 ns/op
Iteration   3: 33.404 ns/op
Iteration   4: 33.398 ns/op
Iteration   5: 33.337 ns/op
Iteration   6: 33.318 ns/op
Iteration   7: 33.351 ns/op
Iteration   8: 33.395 ns/op
Iteration   9: 33.913 ns/op
Iteration  10: 33.681 ns/op

# Run progress: 6.67% complete, ETA 00:21:07
# Fork: 3 of 3
# Warmup Iteration   1: 37.484 ns/op
# Warmup Iteration   2: 34.095 ns/op
# Warmup Iteration   3: 34.597 ns/op
# Warmup Iteration   4: 34.545 ns/op
# Warmup Iteration   5: 34.465 ns/op
Iteration   1: 34.400 ns/op
Iteration   2: 34.176 ns/op
Iteration   3: 34.195 ns/op
Iteration   4: 34.352 ns/op
Iteration   5: 34.632 ns/op
Iteration   6: 34.287 ns/op
Iteration   7: 34.458 ns/op
Iteration   8: 34.678 ns/op
Iteration   9: 34.459 ns/op
Iteration  10: 34.159 ns/op


Result "appendBasic":
  33.793 ±(99.9%) 0.307 ns/op [Average]
  (min, avg, max) = (33.318, 33.793, 34.678), stdev = 0.459
  CI (99.9%): [33.487, 34.100] (assumes normal distribution)


# JMH 1.12 (released 2029 days ago, please consider updating!)
# VM version: JDK 16.0.2, VM 16.0.2+7
# VM invoker: /opt/zulu16.32.15-ca-jdk16.0.2-linux_x64/bin/java
# VM options: -Xmx8g -XX:-TieredCompilation -XX:+UseParallelGC
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: eu.javaspecialists.perf.string.StringAppenderBenchmark.appendStringBuilder

# Run progress: 10.00% complete, ETA 00:20:22
# Fork: 1 of 3
# Warmup Iteration   1: 33.033 ns/op
# Warmup Iteration   2: 29.658 ns/op
# Warmup Iteration   3: 31.078 ns/op
# Warmup Iteration   4: 31.030 ns/op
# Warmup Iteration   5: 31.136 ns/op
Iteration   1: 31.003 ns/op
Iteration   2: 30.996 ns/op
Iteration   3: 30.921 ns/op
Iteration   4: 32.153 ns/op
Iteration   5: 32.060 ns/op
Iteration   6: 31.836 ns/op
Iteration   7: 31.979 ns/op
Iteration   8: 31.285 ns/op
Iteration   9: 31.040 ns/op
Iteration  10: 31.558 ns/op

# Run progress: 13.33% complete, ETA 00:19:37
# Fork: 2 of 3
# Warmup Iteration   1: 34.696 ns/op
# Warmup Iteration   2: 29.496 ns/op
# Warmup Iteration   3: 31.203 ns/op
# Warmup Iteration   4: 31.332 ns/op
# Warmup Iteration   5: 31.351 ns/op
Iteration   1: 31.457 ns/op
Iteration   2: 31.536 ns/op
Iteration   3: 31.158 ns/op
Iteration   4: 31.182 ns/op
Iteration   5: 31.197 ns/op
Iteration   6: 31.164 ns/op
Iteration   7: 31.041 ns/op
Iteration   8: 31.675 ns/op
Iteration   9: 31.706 ns/op
Iteration  10: 31.067 ns/op

# Run progress: 16.67% complete, ETA 00:18:52
# Fork: 3 of 3
# Warmup Iteration   1: 35.849 ns/op
# Warmup Iteration   2: 30.344 ns/op
# Warmup Iteration   3: 30.204 ns/op
# Warmup Iteration   4: 30.791 ns/op
# Warmup Iteration   5: 30.320 ns/op
Iteration   1: 30.557 ns/op
Iteration   2: 30.735 ns/op
Iteration   3: 30.958 ns/op
Iteration   4: 31.059 ns/op
Iteration   5: 31.198 ns/op
Iteration   6: 31.287 ns/op
Iteration   7: 31.102 ns/op
Iteration   8: 31.426 ns/op
Iteration   9: 31.328 ns/op
Iteration  10: 31.061 ns/op


Result "appendStringBuilder":
  31.291 ±(99.9%) 0.256 ns/op [Average]
  (min, avg, max) = (30.557, 31.291, 32.153), stdev = 0.383
  CI (99.9%): [31.035, 31.547] (assumes normal distribution)


# JMH 1.12 (released 2029 days ago, please consider updating!)
# VM version: JDK 16.0.2, VM 16.0.2+7
# VM invoker: /opt/zulu16.32.15-ca-jdk16.0.2-linux_x64/bin/java
# VM options: -Xmx8g -XX:-TieredCompilation -XX:+UseParallelGC
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: eu.javaspecialists.perf.string.StringAppenderBenchmark.appendStringBuilderSize

# Run progress: 20.00% complete, ETA 00:18:07
# Fork: 1 of 3
# Warmup Iteration   1: 34.251 ns/op
# Warmup Iteration   2: 30.926 ns/op
# Warmup Iteration   3: 31.281 ns/op
# Warmup Iteration   4: 31.564 ns/op
# Warmup Iteration   5: 31.526 ns/op
Iteration   1: 31.450 ns/op
Iteration   2: 31.591 ns/op
Iteration   3: 31.627 ns/op
Iteration   4: 31.430 ns/op
Iteration   5: 31.452 ns/op
Iteration   6: 31.432 ns/op
Iteration   7: 31.480 ns/op
Iteration   8: 31.466 ns/op
Iteration   9: 31.444 ns/op
Iteration  10: 31.345 ns/op

# Run progress: 23.33% complete, ETA 00:17:21
# Fork: 2 of 3
# Warmup Iteration   1: 33.952 ns/op
# Warmup Iteration   2: 32.236 ns/op
# Warmup Iteration   3: 31.032 ns/op
# Warmup Iteration   4: 31.297 ns/op
# Warmup Iteration   5: 31.147 ns/op
Iteration   1: 31.035 ns/op
Iteration   2: 31.077 ns/op
Iteration   3: 31.130 ns/op
Iteration   4: 31.431 ns/op
Iteration   5: 31.050 ns/op
Iteration   6: 31.196 ns/op
Iteration   7: 31.200 ns/op
Iteration   8: 31.078 ns/op
Iteration   9: 31.098 ns/op
Iteration  10: 31.196 ns/op

# Run progress: 26.67% complete, ETA 00:16:36
# Fork: 3 of 3
# Warmup Iteration   1: 34.182 ns/op
# Warmup Iteration   2: 31.223 ns/op
# Warmup Iteration   3: 31.377 ns/op
# Warmup Iteration   4: 31.456 ns/op
# Warmup Iteration   5: 31.349 ns/op
Iteration   1: 31.364 ns/op
Iteration   2: 31.350 ns/op
Iteration   3: 31.327 ns/op
Iteration   4: 31.416 ns/op
Iteration   5: 31.400 ns/op
Iteration   6: 31.341 ns/op
Iteration   7: 31.319 ns/op
Iteration   8: 31.439 ns/op
Iteration   9: 31.480 ns/op
Iteration  10: 31.370 ns/op


Result "appendStringBuilderSize":
  31.334 ±(99.9%) 0.108 ns/op [Average]
  (min, avg, max) = (31.035, 31.334, 31.627), stdev = 0.162
  CI (99.9%): [31.226, 31.442] (assumes normal distribution)


# JMH 1.12 (released 2029 days ago, please consider updating!)
# VM version: JDK 16.0.2, VM 16.0.2+7
# VM invoker: /opt/zulu16.32.15-ca-jdk16.0.2-linux_x64/bin/java
# VM options: -Xmx8g -XX:-TieredCompilation -XX:+UseParallelGC
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: eu.javaspecialists.perf.string.StringAppenderBenchmark.concat

# Run progress: 30.00% complete, ETA 00:15:51
# Fork: 1 of 3
# Warmup Iteration   1: 191.795 ns/op
